X,Y,class
-1.77E-01,9.30E-01,1.00E+00
1.98E+00,1.77E+00,0.00E+00
1.80E+00,1.70E+00,0.00E+00
-7.71E-01,2.36E+00,1.00E+00
-3.08E-01,1.59E+00,1.00E+00
6.15E-01,2.43E+00,1.00E+00
1.09E+00,2.22E+00,0.00E+00
-8.35E-01,2.36E+00,1.00E+00
2.48E+00,1.33E+00,0.00E+00
1.20E+00,1.83E+00,1.00E+00
2.19E+00,8.23E-01,0.00E+00
1.68E+00,1.04E+00,0.00E+00
1.15E+00,2.07E+00,0.00E+00
1.36E+00,5.68E-01,0.00E+00
1.39E+00,1.83E+00,0.00E+00
1.87E+00,1.19E+00,0.00E+00
3.12E-01,2.25E+00,1.00E+00
-8.18E-02,1.70E+00,1.00E+00
9.05E-01,2.61E+00,1.00E+00
-4.36E-01,2.02E+00,1.00E+00
8.14E-01,2.14E+00,1.00E+00
3.11E+00,2.27E+00,0.00E+00
-2.56E-01,1.71E+00,1.00E+00
1.89E+00,2.72E+00,0.00E+00
2.30E+00,3.89E+00,0.00E+00
-1.14E-01,8.56E-01,1.00E+00
1.70E+00,3.48E+00,0.00E+00
1.84E+00,9.27E-01,0.00E+00
1.60E+00,1.30E+00,0.00E+00
1.14E+00,2.83E+00,1.00E+00
5.70E-01,1.82E+00,1.00E+00
2.51E-01,1.32E+00,1.00E+00
-3.98E-01,1.98E+00,1.00E+00
1.63E+00,8.82E-01,0.00E+00
3.11E+00,1.74E+00,0.00E+00
-5.67E-03,1.12E+00,1.00E+00
1.37E+00,2.14E+00,0.00E+00
2.70E+00,3.55E+00,0.00E+00
2.00E+00,1.10E+00,0.00E+00
2.44E+00,1.44E+00,0.00E+00
-3.10E-01,9.13E-01,1.00E+00
8.53E-02,1.72E+00,1.00E+00
2.06E+00,1.60E+00,0.00E+00
1.61E+00,2.07E+00,0.00E+00
1.40E+00,6.93E-01,1.00E+00
1.68E+00,1.05E+00,0.00E+00
6.03E-01,2.19E+00,1.00E+00
-8.01E-01,1.90E+00,1.00E+00
2.29E+00,2.00E+00,0.00E+00
-1.08E+00,2.78E+00,1.00E+00
6.73E-01,1.08E+00,1.00E+00
2.97E+00,2.12E+00,0.00E+00
6.80E-01,2.10E+00,1.00E+00
-4.48E-01,3.18E+00,1.00E+00
-5.00E-01,2.02E+00,1.00E+00
1.85E+00,3.67E+00,0.00E+00
1.72E+00,1.78E+00,0.00E+00
2.25E+00,3.12E+00,0.00E+00
3.14E-01,1.35E+00,1.00E+00
-2.84E-01,1.86E+00,1.00E+00
2.13E+00,2.58E+00,0.00E+00
1.58E+00,2.02E+00,0.00E+00
-1.08E+00,1.40E+00,1.00E+00
1.20E+00,2.40E+00,0.00E+00
1.38E+00,1.15E+00,0.00E+00
-1.66E+00,1.46E+00,1.00E+00
1.24E+00,1.46E+00,0.00E+00
1.88E+00,1.72E+00,0.00E+00
2.91E+00,2.94E+00,0.00E+00
-4.81E-01,1.79E+00,1.00E+00
2.44E+00,1.35E+00,0.00E+00
2.57E+00,9.93E-01,0.00E+00
2.45E+00,2.49E+00,0.00E+00
4.60E-01,6.84E-01,1.00E+00
-3.91E-01,2.13E+00,1.00E+00
-1.27E+00,1.16E+00,1.00E+00
1.42E+00,2.57E+00,0.00E+00
-5.68E-01,9.90E-01,1.00E+00
-1.80E+00,1.23E+00,1.00E+00
1.80E-01,1.26E+00,1.00E+00
2.85E+00,1.85E+00,0.00E+00
1.85E+00,1.15E+00,0.00E+00
2.23E+00,3.15E+00,0.00E+00
-5.50E-01,1.08E+00,1.00E+00
-7.91E-01,1.65E+00,1.00E+00
-1.32E-01,1.94E+00,1.00E+00
7.03E-01,1.36E+00,0.00E+00
2.77E-01,2.67E+00,1.00E+00
6.10E-01,2.17E+00,1.00E+00
-5.30E-01,2.02E+00,1.00E+00
1.84E+00,2.11E+00,0.00E+00
2.84E-01,2.64E+00,1.00E+00
1.90E+00,2.26E+00,0.00E+00
2.07E+00,2.61E+00,0.00E+00
-1.72E+00,1.28E+00,1.00E+00
2.63E+00,1.27E+00,0.00E+00
-4.03E-02,1.78E+00,1.00E+00
-7.87E-01,1.40E+00,1.00E+00
2.70E+00,1.59E+00,0.00E+00
1.29E+00,2.75E+00,1.00E+00
