X,Y,class
3.16E-02,9.87E-01,0.00E+00
2.12E+00,-4.62E-02,1.00E+00
8.82E-01,-7.58E-02,0.00E+00
-5.51E-02,-3.73E-02,1.00E+00
8.30E-01,-5.39E-01,1.00E+00
2.11E+00,6.62E-01,1.00E+00
5.70E-01,3.37E-01,0.00E+00
9.52E-01,-7.53E-01,1.00E+00
-2.92E-02,3.93E-01,1.00E+00
1.72E+00,3.61E-01,1.00E+00
-2.79E-01,6.14E-01,1.00E+00
2.00E+00,-3.09E-01,1.00E+00
1.50E+00,-7.46E-01,1.00E+00
1.23E+00,1.20E+00,0.00E+00
4.67E-01,5.47E-01,0.00E+00
-3.67E-01,1.12E+00,0.00E+00
3.01E-01,1.23E+00,0.00E+00
3.04E-01,8.24E-01,0.00E+00
-2.37E-01,7.79E-01,0.00E+00
1.16E+00,5.53E-01,0.00E+00
-5.97E-01,6.57E-01,0.00E+00
4.64E-01,-1.95E-01,1.00E+00
6.85E-01,7.53E-01,0.00E+00
7.05E-01,-4.59E-01,1.00E+00
-6.58E-01,-1.29E-01,0.00E+00
-7.47E-01,-3.83E-01,0.00E+00
6.06E-01,3.13E-01,0.00E+00
2.18E+00,-2.29E-02,1.00E+00
1.92E+00,1.72E-01,1.00E+00
1.48E+00,-1.05E-01,1.00E+00
4.74E-01,-1.46E-01,1.00E+00
1.06E+00,-1.04E+00,1.00E+00
1.87E+00,-1.11E-02,1.00E+00
4.19E-01,-3.25E-01,1.00E+00
6.87E-02,5.66E-01,1.00E+00
-1.73E-01,1.00E+00,0.00E+00
1.24E-01,1.00E+00,0.00E+00
1.81E-01,2.47E-01,1.00E+00
-2.55E-01,1.93E-01,1.00E+00
1.03E+00,-6.26E-01,1.00E+00
1.52E+00,-4.52E-02,0.00E+00
6.42E-01,-3.94E-01,1.00E+00
-8.76E-01,4.66E-02,0.00E+00
-1.07E+00,1.37E-01,0.00E+00
1.03E+00,3.78E-01,0.00E+00
9.31E-01,1.39E+00,0.00E+00
6.77E-01,1.57E+00,0.00E+00
-3.69E-01,7.29E-01,0.00E+00
-1.02E+00,1.62E-01,0.00E+00
7.75E-01,1.54E-01,0.00E+00
1.40E+00,-7.06E-03,1.00E+00
-3.81E-01,-2.35E-01,1.00E+00
7.22E-01,4.47E-01,0.00E+00
-5.13E-01,6.79E-01,0.00E+00
3.21E-01,2.87E-01,0.00E+00
1.95E-01,1.61E-01,1.00E+00
5.28E-01,9.83E-01,0.00E+00
-2.22E-01,2.52E-01,0.00E+00
2.23E-01,1.32E+00,0.00E+00
-1.07E-01,5.62E-01,1.00E+00
6.37E-01,7.54E-01,0.00E+00
-3.72E-01,9.93E-01,0.00E+00
2.07E-01,-9.77E-02,1.00E+00
1.27E-01,-3.80E-01,1.00E+00
7.14E-01,-8.00E-01,1.00E+00
1.09E+00,-3.68E-01,1.00E+00
-1.48E-01,9.62E-01,0.00E+00
1.59E+00,-6.30E-01,1.00E+00
7.44E-01,5.77E-01,0.00E+00
2.18E+00,-7.00E-01,1.00E+00
2.46E-01,8.50E-01,0.00E+00
-9.50E-01,9.04E-01,0.00E+00
-8.82E-01,7.25E-02,0.00E+00
2.02E+00,1.23E-01,1.00E+00
2.15E+00,4.63E-01,1.00E+00
3.55E-01,-6.78E-01,1.00E+00
3.47E-01,1.12E+00,0.00E+00
1.74E+00,4.59E-01,1.00E+00
6.39E-01,-4.47E-01,1.00E+00
1.29E+00,-4.91E-01,1.00E+00
-1.38E-01,1.25E+00,0.00E+00
-5.62E-01,1.05E+00,0.00E+00
1.29E+00,-2.07E-01,1.00E+00
-8.75E-01,5.05E-01,0.00E+00
-9.29E-01,-4.56E-01,0.00E+00
2.49E-02,1.07E-01,1.00E+00
1.97E-01,-6.80E-02,1.00E+00
7.33E-01,2.82E-01,0.00E+00
1.68E+00,-2.02E-01,1.00E+00
5.08E-01,-1.17E-01,1.00E+00
1.67E+00,-4.25E-01,1.00E+00
-8.22E-01,6.31E-01,0.00E+00
3.02E-01,7.86E-01,0.00E+00
1.38E+00,-8.09E-01,1.00E+00
1.17E+00,5.98E-01,0.00E+00
1.70E+00,5.88E-01,1.00E+00
2.19E-01,-6.53E-01,1.00E+00
9.53E-01,-4.20E-01,1.00E+00
-1.32E+00,4.23E-01,0.00E+00
-1.30E+00,1.84E-01,0.00E+00
