X,Y,class
1.76E+00,4.00E-01,-1.00E+00
9.79E-01,2.24E+00,-1.00E+00
1.87E+00,-9.77E-01,1.00E+00
9.50E-01,-1.51E-01,1.00E+00
-1.03E-01,4.11E-01,1.00E+00
1.44E-01,1.45E+00,-1.00E+00
7.61E-01,1.22E-01,-1.00E+00
4.44E-01,3.34E-01,-1.00E+00
1.49E+00,-2.05E-01,1.00E+00
3.13E-01,-8.54E-01,1.00E+00
-2.55E+00,6.54E-01,1.00E+00
8.64E-01,-7.42E-01,1.00E+00
2.27E+00,-1.45E+00,1.00E+00
4.58E-02,-1.87E-01,1.00E+00
1.53E+00,1.47E+00,-1.00E+00
1.55E-01,3.78E-01,-1.00E+00
-8.88E-01,-1.98E+00,-1.00E+00
-3.48E-01,1.56E-01,1.00E+00
1.23E+00,1.20E+00,-1.00E+00
-3.87E-01,-3.02E-01,-1.00E+00
-1.05E+00,-1.42E+00,-1.00E+00
-1.71E+00,1.95E+00,1.00E+00
-5.10E-01,-4.38E-01,-1.00E+00
-1.25E+00,7.77E-01,1.00E+00
-1.61E+00,-2.13E-01,-1.00E+00
-8.95E-01,3.87E-01,1.00E+00
-5.11E-01,-1.18E+00,-1.00E+00
-2.82E-02,4.28E-01,1.00E+00
6.65E-02,3.02E-01,-1.00E+00
-6.34E-01,-3.63E-01,-1.00E+00
-6.72E-01,-3.60E-01,-1.00E+00
-8.13E-01,-1.73E+00,-1.00E+00
1.77E-01,-4.02E-01,1.00E+00
-1.63E+00,4.63E-01,1.00E+00
-9.07E-01,5.19E-02,1.00E+00
7.29E-01,1.29E-01,-1.00E+00
1.14E+00,-1.23E+00,1.00E+00
4.02E-01,-6.85E-01,1.00E+00
-8.71E-01,-5.79E-01,-1.00E+00
-3.12E-01,5.62E-02,1.00E+00
-1.17E+00,9.01E-01,1.00E+00
4.66E-01,-1.54E+00,1.00E+00
1.49E+00,1.90E+00,-1.00E+00
1.18E+00,-1.80E-01,1.00E+00
-1.07E+00,1.05E+00,1.00E+00
-4.03E-01,1.22E+00,1.00E+00
2.08E-01,9.77E-01,-1.00E+00
3.56E-01,7.07E-01,-1.00E+00
1.05E-02,1.79E+00,-1.00E+00
1.27E-01,4.02E-01,-1.00E+00
1.88E+00,-1.35E+00,1.00E+00
-1.27E+00,9.69E-01,1.00E+00
-1.17E+00,1.94E+00,1.00E+00
-4.14E-01,-7.47E-01,-1.00E+00
1.92E+00,1.48E+00,-1.00E+00
1.87E+00,9.06E-01,-1.00E+00
-8.61E-01,1.91E+00,1.00E+00
-2.68E-01,8.02E-01,1.00E+00
9.47E-01,-1.55E-01,1.00E+00
6.14E-01,9.22E-01,-1.00E+00
3.76E-01,-1.10E+00,1.00E+00
2.98E-01,1.33E+00,-1.00E+00
-6.95E-01,-1.50E-01,-1.00E+00
-4.35E-01,1.85E+00,1.00E+00
6.72E-01,4.07E-01,-1.00E+00
-7.70E-01,5.39E-01,1.00E+00
-6.74E-01,3.18E-02,1.00E+00
-6.36E-01,6.76E-01,1.00E+00
5.77E-01,-2.08E-01,1.00E+00
3.96E-01,-1.09E+00,1.00E+00
-1.49E+00,4.39E-01,1.00E+00
1.67E-01,6.35E-01,-1.00E+00
2.38E+00,9.44E-01,-1.00E+00
-9.13E-01,1.12E+00,1.00E+00
-1.32E+00,-4.62E-01,-1.00E+00
-6.82E-02,1.71E+00,1.00E+00
-7.45E-01,-8.26E-01,-1.00E+00
-9.85E-02,-6.63E-01,-1.00E+00
1.13E+00,-1.08E+00,1.00E+00
-1.15E+00,-4.38E-01,-1.00E+00
-4.98E-01,1.93E+00,1.00E+00
9.49E-01,8.76E-02,-1.00E+00
-1.23E+00,8.44E-01,1.00E+00
-1.00E+00,-1.54E+00,-1.00E+00
1.19E+00,3.17E-01,-1.00E+00
9.21E-01,3.19E-01,-1.00E+00
8.57E-01,-6.51E-01,1.00E+00
-1.03E+00,6.82E-01,1.00E+00
-8.03E-01,-6.90E-01,-1.00E+00
-4.56E-01,1.75E-02,1.00E+00
-3.54E-01,-1.37E+00,-1.00E+00
-6.44E-01,-2.22E+00,-1.00E+00
6.25E-01,-1.60E+00,1.00E+00
-1.10E+00,5.22E-02,1.00E+00
-7.40E-01,1.54E+00,1.00E+00
-1.29E+00,2.67E-01,1.00E+00
-3.93E-02,-1.17E+00,-1.00E+00
5.23E-01,-1.72E-01,1.00E+00
7.72E-01,8.24E-01,-1.00E+00
2.16E+00,1.34E+00,-1.00E+00
-3.69E-01,-2.39E-01,-1.00E+00
1.10E+00,6.55E-01,-1.00E+00
6.40E-01,-1.62E+00,1.00E+00
-2.43E-02,-7.38E-01,-1.00E+00
2.80E-01,-9.82E-02,1.00E+00
9.10E-01,3.17E-01,-1.00E+00
7.86E-01,-4.66E-01,1.00E+00
-9.44E-01,-4.10E-01,-1.00E+00
-1.70E-02,3.79E-01,1.00E+00
2.26E+00,-4.23E-02,1.00E+00
-9.56E-01,-3.46E-01,-1.00E+00
-4.64E-01,4.81E-01,1.00E+00
-1.54E+00,6.33E-02,1.00E+00
1.57E-01,2.32E-01,-1.00E+00
-5.97E-01,-2.38E-01,-1.00E+00
-1.42E+00,-4.93E-01,-1.00E+00
-5.43E-01,4.16E-01,1.00E+00
-1.16E+00,7.81E-01,1.00E+00
1.49E+00,-2.07E+00,1.00E+00
